SYMBOL,source,source_id,module,component
UBE2D1,MSIGDB_C2_CP:REACTOME,REACTOME_SYNTHESIS_OF_ACTIVE_UBIQUITIN_ROLES_OF_E1_AND_E2_ENZYMES,UPS,REACTOME
UBE2D2,ORGDB_GOALL,GO:0006511,UPS,GO
UBE2D2,MSIGDB_C2_CP:REACTOME,REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION,UPS,REACTOME
UBE2D2,MSIGDB_C2_CP:REACTOME,REACTOME_E3_UBIQUITIN_LIGASES_UBIQUITINATE_TARGET_PROTEINS,UPS,REACTOME
UBE2D2,MSIGDB_C2_CP:REACTOME,REACTOME_PROTEIN_UBIQUITINATION,UPS,REACTOME
UBE2D2,MSIGDB_C2_CP:REACTOME,REACTOME_SYNTHESIS_OF_ACTIVE_UBIQUITIN_ROLES_OF_E1_AND_E2_ENZYMES,UPS,REACTOME
UBE2D3,ORGDB_GOALL,GO:0006511,UPS,GO
UBE2D3,ORGDB_GOALL,GO:0043161,UPS,GO
UBE2D3,MSIGDB_C2_CP:REACTOME,REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION,UPS,REACTOME
UBE2D3,MSIGDB_C2_CP:REACTOME,REACTOME_E3_UBIQUITIN_LIGASES_UBIQUITINATE_TARGET_PROTEINS,UPS,REACTOME
UBE2D3,MSIGDB_C2_CP:REACTOME,REACTOME_PROTEIN_UBIQUITINATION,UPS,REACTOME
UBE2D4,ORGDB_GOALL,GO:0006511,UPS,GO
UBE2D4,MSIGDB_C2_CP:REACTOME,REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION,UPS,REACTOME
UBE2E1,ORGDB_GOALL,GO:0006511,UPS,GO
UBE2E1,MSIGDB_C2_CP:REACTOME,REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION,UPS,REACTOME
UBE2E1,MSIGDB_C2_CP:REACTOME,REACTOME_E3_UBIQUITIN_LIGASES_UBIQUITINATE_TARGET_PROTEINS,UPS,REACTOME
UBE2E1,MSIGDB_C2_CP:REACTOME,REACTOME_PROTEIN_UBIQUITINATION,UPS,REACTOME
UBE2E1,MSIGDB_C2_CP:REACTOME,REACTOME_SYNTHESIS_OF_ACTIVE_UBIQUITIN_ROLES_OF_E1_AND_E2_ENZYMES,UPS,REACTOME
UBE2E2,MSIGDB_C2_CP:REACTOME,REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION,UPS,REACTOME
UBE2E3,MSIGDB_C2_CP:REACTOME,REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION,UPS,REACTOME
UBE2E3,MSIGDB_C2_CP:REACTOME,REACTOME_PROTEIN_UBIQUITINATION,UPS,REACTOME
UBE2E3,MSIGDB_C2_CP:REACTOME,REACTOME_SYNTHESIS_OF_ACTIVE_UBIQUITIN_ROLES_OF_E1_AND_E2_ENZYMES,UPS,REACTOME
UBE2F,ORGDB_GOALL,GO:0006511,UPS,GO
UBE2F,ORGDB_GOALL,GO:0043161,UPS,GO
UBE2F,MSIGDB_C2_CP:REACTOME,REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION,UPS,REACTOME
UBE2G1,ORGDB_GOALL,GO:0006511,UPS,GO
UBE2G1,ORGDB_GOALL,GO:0043161,UPS,GO
UBE2G1,MSIGDB_C2_CP:REACTOME,REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION,UPS,REACTOME
UBE2G1,MSIGDB_C2_CP:REACTOME,REACTOME_PROTEIN_UBIQUITINATION,UPS,REACTOME
UBE2G1,MSIGDB_C2_CP:REACTOME,REACTOME_SYNTHESIS_OF_ACTIVE_UBIQUITIN_ROLES_OF_E1_AND_E2_ENZYMES,UPS,REACTOME
UBE2G2,ORGDB_GOALL,GO:0006511,UPS,GO
UBE2G2,MSIGDB_C2_CP:REACTOME,REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION,UPS,REACTOME
UBE2G2,MSIGDB_C2_CP:REACTOME,REACTOME_PROTEIN_UBIQUITINATION,UPS,REACTOME
UBE2G2,MSIGDB_C2_CP:REACTOME,REACTOME_SYNTHESIS_OF_ACTIVE_UBIQUITIN_ROLES_OF_E1_AND_E2_ENZYMES,UPS,REACTOME
UBE2H,ORGDB_GOALL,GO:0006511,UPS,GO
UBE2H,ORGDB_GOALL,GO:0043161,UPS,GO
UBE2H,MSIGDB_C2_CP:REACTOME,REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION,UPS,REACTOME
UBE2H,MSIGDB_C2_CP:REACTOME,REACTOME_PROTEIN_UBIQUITINATION,UPS,REACTOME
UBE2H,MSIGDB_C2_CP:REACTOME,REACTOME_SYNTHESIS_OF_ACTIVE_UBIQUITIN_ROLES_OF_E1_AND_E2_ENZYMES,UPS,REACTOME
